time,location,map,cir,color
04060000,12,-0.6275,0.1220,#3cef65
04060100,12,-0.6281,0.1198,#3cef65
04060200,12,-0.6286,0.1240,#3cef65
04060300,12,-0.6261,0.1228,#3cef65
04060400,12,-0.6270,0.1235,#3cef65
04060500,12,-0.6263,0.1201,#3cef65
04060600,12,-0.6266,0.1191,#3cef65
04060700,12,-0.6262,0.1184,#3cef65
04060800,12,-0.6271,0.1209,#3cef65
04060900,12,-0.6275,0.1201,#3cef65
04061000,12,-0.6271,0.1213,#3cef65
04061100,12,-0.6272,0.1221,#3cef65
04061200,12,-0.6285,0.1234,#3cef65
04061300,12,-0.6278,0.1211,#3cef65
04061400,12,-0.6286,0.1179,#3cef65
04061500,12,-0.6285,0.1159,#3bef65
04061600,12,-0.6287,0.1238,#3cef65
04061700,12,-0.6298,0.1137,#3bef65
04061800,12,-0.6303,0.1225,#3cef65
04061900,12,-0.6273,0.1140,#3bef64
04062000,12,-0.6248,0.1207,#3cef64
04062100,12,-0.6271,0.1191,#3cef65
04062200,12,-0.6263,0.1160,#3cef64
04062300,12,-0.6279,0.1291,#3cef65
04070000,12,-0.6298,0.1109,#3bef65
04070100,12,-0.6285,0.1226,#3cef65
04070200,12,-0.6289,0.1135,#3bef65
04070300,12,-0.6274,0.1216,#3cef65
04070400,12,-0.6260,0.1180,#3cef64
04070500,12,-0.6271,0.1141,#3bef64
04070600,12,-0.6276,0.1166,#3cef65
04070700,12,-0.6276,0.1212,#3cef65
04070800,12,-0.6284,0.1331,#3cee65
04070900,12,-0.6269,0.1164,#3cef65
04071000,12,-0.6259,0.1078,#3bef64
04071100,12,-0.6278,0.1174,#3cef65
04071200,12,-0.6278,0.1308,#3cee65
04071300,12,-0.6279,0.1159,#3bef65
04071400,12,-0.6264,0.1164,#3cef64
04071500,12,-0.6274,0.1193,#3cef65
04071600,12,-0.6266,0.1153,#3bef64
04071700,12,-0.6278,0.1170,#3cef65
04071800,12,-0.6263,0.1190,#3cef65
04071900,12,-0.6263,0.1185,#3cef65
04072000,12,-0.6277,0.1187,#3cef65
04072100,12,-0.6281,0.1156,#3bef65
04072200,12,-0.6271,0.1119,#3bef64
04072300,12,-0.6274,0.1091,#3bef64
04080000,12,-0.6274,0.1241,#3cef65
04080100,12,-0.6283,0.1250,#3cef65
04080200,12,-0.6279,0.1128,#3bef64
04080300,12,-0.6259,0.1155,#3bef64
04080400,12,-0.6275,0.1297,#3cef65
04080500,12,-0.6265,0.1229,#3cef65
04080600,12,-0.6156,0.1277,#3cef64
04080700,12,-0.5501,0.1758,#3fed61
04080800,12,0.3729,0.1821,#63ed48
04080900,12,0.4402,0.1235,#67f046
04081000,12,0.4472,0.1140,#67f046
04081100,12,0.4489,0.1114,#67f045
04081200,12,0.4493,0.1149,#67f046
04081300,12,0.4491,0.1084,#67f045
04081400,12,0.4509,0.1196,#68f046
04081500,12,0.4505,0.1179,#68f046
04081600,12,0.4562,0.1237,#68f046
04081700,12,0.5105,0.1586,#6dee48
04081800,12,1.2357,0.1563,#a0ef4f
04081900,12,1.2886,0.1235,#a4f04e
04082000,12,1.2965,0.1271,#a5f04e
04082100,12,1.2961,0.1172,#a5f04e
04082200,12,1.2973,0.1239,#a5f04e
04082300,12,1.2971,0.1142,#a5f14e
04090000,12,1.2964,0.1146,#a5f14e
04090100,12,1.2977,0.1214,#a5f04e
04090200,12,1.2951,0.1256,#a4f04e
04090300,12,1.2867,0.1218,#a4f04e
04090400,12,1.2278,0.1692,#a0ee4f
04090500,12,0.4038,0.1660,#65ee47
04090600,12,0.3442,0.1238,#60f045
04090700,12,0.3353,0.1122,#5ff044
04090800,12,0.3334,0.1155,#5ff045
04090900,12,0.3339,0.1185,#5ff045
04091000,12,0.3342,0.1216,#5ff045
04091100,12,0.3344,0.1215,#5ff045
04091200,12,0.3360,0.1189,#5ff045
04091300,12,0.3355,0.1257,#5fef45
04091400,12,0.3377,0.1264,#5fef45
04091500,12,0.3363,0.1192,#5ff045
04091600,12,0.3359,0.1215,#5ff045
