hour,minu,location,count
040600,00,1,0
040600,00,2,1
040600,00,3,1
040600,00,4,2
040600,00,5,0
040600,00,6,0
040600,00,7,0
040600,00,8,1
040600,00,9,0
040600,00,10,0
040600,00,11,0
040600,00,12,0
040600,00,13,0
040600,00,14,0
040600,00,15,1
040600,00,16,0
040600,00,17,1
040600,00,18,1
040600,00,19,0
040600,01,1,0
040600,01,2,0
040600,01,3,0
040600,01,4,0
040600,01,5,0
040600,01,6,0
040600,01,7,0
040600,01,8,0
040600,01,9,0
040600,01,10,0
040600,01,11,0
040600,01,12,0
040600,01,13,0
040600,01,14,0
040600,01,15,0
040600,01,16,0
040600,01,17,0
040600,01,18,0
040600,01,19,0
040600,02,1,0
040600,02,2,0
040600,02,3,0
040600,02,4,0
040600,02,5,0
040600,02,6,0
040600,02,7,0
040600,02,8,0
040600,02,9,0
040600,02,10,0
040600,02,11,0
040600,02,12,0
040600,02,13,0
040600,02,14,0
040600,02,15,0
040600,02,16,0
040600,02,17,0
040600,02,18,0
040600,02,19,0
040600,03,1,0
040600,03,2,0
040600,03,3,0
040600,03,4,0
040600,03,5,0
040600,03,6,0
040600,03,7,0
040600,03,8,0
040600,03,9,0
040600,03,10,0
040600,03,11,0
040600,03,12,0
040600,03,13,0
040600,03,14,0
040600,03,15,0
040600,03,16,0
040600,03,17,0
040600,03,18,0
040600,03,19,0
040600,04,1,0
040600,04,2,0
040600,04,3,0
040600,04,4,0
040600,04,5,0
040600,04,6,0
040600,04,7,0
040600,04,8,0
040600,04,9,0
040600,04,10,0
040600,04,11,0
040600,04,12,0
040600,04,13,0
040600,04,14,0
040600,04,15,0
040600,04,16,0
040600,04,17,0
040600,04,18,0
040600,04,19,0
040600,05,1,0
040600,05,2,1
040600,05,3,0
040600,05,4,0
040600,05,5,1
040600,05,6,1
040600,05,7,0
040600,05,8,5
040600,05,9,0
040600,05,10,0
040600,05,11,0
040600,05,12,0
040600,05,13,1
040600,05,14,1
040600,05,15,1
040600,05,16,0
040600,05,17,0
040600,05,18,0
040600,05,19,1
040600,06,1,0
040600,06,2,0
040600,06,3,0
040600,06,4,0
040600,06,5,0
040600,06,6,0
040600,06,7,0
040600,06,8,0
040600,06,9,0
040600,06,10,0
040600,06,11,0
040600,06,12,0
040600,06,13,0
040600,06,14,0
040600,06,15,0
040600,06,16,0
040600,06,17,0
040600,06,18,0
040600,06,19,0
040600,07,1,0
040600,07,2,0
040600,07,3,0
040600,07,4,0
